   ;COD;CFOP
1  ;01 ;1101
2  ;01 ;1102
3  ;01 ;1111
4  ;01 ;1113
5  ;01 ;1116
6  ;01 ;1117
7  ;01 ;1118
8  ;01 ;1120
9  ;01 ;1121
10 ;01 ;1122
11 ;01 ;1124
12 ;01 ;1125
13 ;01 ;1126
14 ;01 ;1400
15 ;01 ;1401
16 ;01 ;1403
17 ;01 ;1406
18 ;01 ;1500
19 ;01 ;1501
20 ;01 ;1503
21 ;01 ;1504
22 ;01 ;1650
23 ;01 ;1651
24 ;01 ;1652
25 ;01 ;1653
26 ;01 ;2101
27 ;01 ;2102
28 ;01 ;2111
29 ;01 ;2113
30 ;01 ;2116
31 ;01 ;2117
32 ;01 ;2118
33 ;01 ;2120
34 ;01 ;2121
35 ;01 ;2122
36 ;01 ;2124
37 ;01 ;2125
38 ;01 ;2126
39 ;01 ;2400
40 ;01 ;2401
41 ;01 ;2403
42 ;01 ;2406
43 ;01 ;2500
44 ;01 ;2501
45 ;01 ;2503
46 ;01 ;2504
47 ;01 ;2650
48 ;01 ;2651
49 ;01 ;2652
50 ;01 ;2653
51 ;01 ;3101
52 ;01 ;3102
53 ;01 ;3126
54 ;01 ;3127
55 ;01 ;3650
56 ;01 ;3651
57 ;01 ;3652
58 ;01 ;3653
59 ;02 ;1151
60 ;02 ;1152
61 ;02 ;1153
62 ;02 ;1159
63 ;02 ;1408
64 ;02 ;1409
65 ;02 ;1414
66 ;02 ;1415
67 ;02 ;1450
68 ;02 ;1557
69 ;02 ;1658
70 ;02 ;1659
71 ;02 ;2151
72 ;02 ;2152
73 ;02 ;2153
74 ;02 ;2408
75 ;02 ;2409
76 ;02 ;2411
77 ;02 ;2414
78 ;02 ;2415
79 ;02 ;2557
80 ;02 ;2658
81 ;02 ;2659
82 ;03 ;1201
83 ;03 ;1202
84 ;03 ;1203
85 ;03 ;1204
86 ;03 ;1205
87 ;03 ;1206
88 ;03 ;1207
89 ;03 ;1208
90 ;03 ;1209
91 ;03 ;1410
92 ;03 ;1411
93 ;03 ;1660
94 ;03 ;1661
95 ;03 ;1662
96 ;03 ;2201
97 ;03 ;2202
98 ;03 ;2203
99 ;03 ;2204
100;03 ;2205
101;03 ;2206
102;03 ;2207
103;03 ;2208
104;03 ;2209
105;03 ;2410
106;03 ;2553
107;03 ;2660
108;03 ;2661
109;03 ;2662
110;03 ;3201
111;03 ;3202
112;03 ;3205
113;03 ;3206
114;03 ;3207
115;03 ;3211
116;03 ;3553
117;04 ;1351
118;04 ;2350
119;04 ;2351
120;04 ;2352
121;04 ;2353
122;04 ;2354
123;04 ;2355
124;04 ;2356
125;04 ;2932
126;04 ;3350
127;04 ;3351
128;04 ;3352
129;04 ;3353
130;04 ;3354
131;04 ;3355
132;04 ;3356
133;05 ;1301
134;05 ;2300
135;05 ;2301
136;05 ;2302
137;05 ;2303
138;05 ;2304
139;05 ;2305
140;05 ;2306
141;05 ;3300
142;05 ;3301
143;06 ;1251
144;06 ;2250
145;06 ;2251
146;06 ;2253
147;06 ;2254
148;06 ;2255
149;06 ;2256
150;06 ;2257
151;06 ;3250
152;06 ;3251
153;08 ;1551
154;08 ;2550
155;08 ;2551
156;08 ;3550
157;08 ;3551
158;09 ;1407
159;09 ;1556
160;09 ;2407
161;09 ;2556
162;09 ;3556
163;10 ;1933
164;10 ;2933
165;11 ;3930
166;11 ;3949
167;11 ;1901
168;11 ;1902
169;11 ;1903
170;11 ;1904
171;11 ;1905
172;11 ;1906
173;11 ;1907
174;11 ;1908
175;11 ;1909
176;11 ;1910
177;11 ;1911
178;11 ;1912
179;11 ;1913
180;11 ;1914
181;11 ;1915
182;11 ;1916
183;11 ;1917
184;11 ;1918
185;11 ;1919
186;11 ;1920
187;11 ;1921
188;11 ;1922
189;11 ;1923
190;11 ;1924
191;11 ;1925
192;11 ;1926
193;11 ;1927
194;11 ;1928
195;11 ;1929
196;11 ;1930
197;11 ;1931
198;11 ;1932
199;11 ;1934
200;11 ;1935
201;11 ;1936
202;11 ;1937
203;11 ;1938
204;11 ;1939
205;11 ;1940
206;11 ;1941
207;11 ;1942
208;11 ;1943
209;11 ;1944
210;11 ;1945
211;11 ;1946
212;11 ;1947
213;11 ;1948
214;11 ;1949
215;11 ;2901
216;11 ;2902
217;11 ;2903
218;11 ;2904
219;11 ;2905
220;11 ;2906
221;11 ;2907
222;11 ;2908
223;11 ;2909
224;11 ;2910
225;11 ;2911
226;11 ;2912
227;11 ;2913
228;11 ;2914
229;11 ;2915
230;11 ;2916
231;11 ;2917
232;11 ;2918
233;11 ;2919
234;11 ;2920
235;11 ;2921
236;11 ;2922
237;11 ;2923
238;11 ;2924
239;11 ;2925
240;11 ;2926
241;11 ;2927
242;11 ;2928
243;11 ;2929
244;11 ;2930
245;11 ;2931
246;11 ;2934
247;11 ;2935
248;11 ;2936
249;11 ;2937
250;11 ;2938
251;11 ;2939
252;11 ;2940
253;11 ;2941
254;11 ;2942
255;11 ;2943
256;11 ;2944
257;11 ;2945
258;11 ;2946
259;11 ;2947
260;11 ;2948
261;11 ;2949
262;01 ;5405
263;01 ;5101
264;01 ;5102
265;01 ;5103
266;01 ;5104
267;01 ;5105
268;01 ;5106
269;01 ;5109
270;01 ;5110
271;01 ;5111
272;01 ;5112
273;01 ;5113
274;01 ;5114
275;01 ;5115
276;01 ;5116
277;01 ;5117
278;01 ;5118
279;01 ;5119
280;01 ;5120
281;01 ;5122
282;01 ;5124
283;01 ;5125
284;01 ;5401
285;01 ;5402
286;01 ;5403
287;01 ;6101
288;01 ;6102
289;01 ;6103
290;01 ;6104
291;01 ;6105
292;01 ;6106
293;01 ;6107
294;01 ;6108
295;01 ;6109
296;01 ;6110
297;01 ;6111
298;01 ;6112
299;01 ;6113
300;01 ;6114
301;01 ;6115
302;01 ;6116
303;01 ;6117
304;01 ;6118
305;01 ;6119
306;01 ;6120
307;01 ;6122
308;01 ;6123
309;01 ;6124
310;01 ;6125
311;01 ;6401
312;01 ;6402
313;01 ;6403
314;01 ;6404
315;01 ;6415
316;01 ;7101
317;01 ;7102
318;01 ;7105
319;01 ;7106
320;01 ;7127
321;01 ;7501
322;01 ;7504
323;02 ;5151
324;02 ;5152
325;02 ;5153
326;02 ;5155
327;02 ;5156
328;02 ;5159
329;02 ;5160
330;02 ;5408
331;02 ;5409
332;02 ;5501
333;02 ;5502
334;02 ;5503
335;02 ;5552
336;02 ;6151
337;02 ;6152
338;02 ;6153
339;02 ;6155
340;02 ;6156
341;02 ;6159
342;02 ;6160
343;02 ;6408
344;02 ;6409
345;02 ;6501
346;02 ;6502
347;02 ;6552
348;03 ;5201
349;03 ;5202
350;03 ;5205
351;03 ;5206
352;03 ;5207
353;03 ;5208
354;03 ;5209
355;03 ;5210
356;03 ;5410
357;03 ;5411
358;03 ;6201
359;03 ;6202
360;03 ;6205
361;03 ;6206
362;03 ;6207
363;03 ;6208
364;03 ;6209
365;03 ;6210
366;03 ;6410
367;03 ;6411
368;03 ;7201
369;03 ;7202
370;03 ;7205
371;03 ;7206
372;03 ;7207
373;03 ;7210
374;03 ;7211
375;07 ;5551
376;07 ;6551
377;07 ;7551
378;09 ;5933
379;09 ;6933
380;10 ;5901
381;10 ;5902
382;10 ;5903
383;10 ;5904
384;10 ;5905
385;10 ;5906
386;10 ;5907
387;10 ;5908
388;10 ;5909
389;10 ;5910
390;10 ;5911
391;10 ;5912
392;10 ;5913
393;10 ;5914
394;10 ;5915
395;10 ;5916
396;10 ;5917
397;10 ;5918
398;10 ;5919
399;10 ;5920
400;10 ;5921
401;10 ;5922
402;10 ;5923
403;10 ;5924
404;10 ;5925
405;10 ;5926
406;10 ;5927
407;10 ;5928
408;10 ;5929
409;10 ;5930
410;10 ;5931
411;10 ;5932
412;10 ;5934
413;10 ;5949
414;10 ;6901
415;10 ;6902
416;10 ;6903
417;10 ;6904
418;10 ;6905
419;10 ;6906
420;10 ;6907
421;10 ;6908
422;10 ;6909
423;10 ;6910
424;10 ;6911
425;10 ;6912
426;10 ;6913
427;10 ;6914
428;10 ;6915
429;10 ;6916
430;10 ;6917
431;10 ;6918
432;10 ;6919
433;10 ;6920
434;10 ;6921
435;10 ;6922
436;10 ;6923
437;10 ;6924
438;10 ;6925
439;10 ;6926
440;10 ;6927
441;10 ;6928
442;10 ;6929
443;10 ;6930
444;10 ;6931
445;10 ;6934
446;10 ;6949
447;10 ;7949
