   ;COD_MUN;COD_IBGE
1  ;107    ;2900108 
2  ;204    ;2900207 
3  ;301    ;2900306 
4  ;41501  ;2900355 
5  ;408    ;2900405 
6  ;602    ;2900603 
7  ;709    ;2900702 
8  ;806    ;2900801 
9  ;903    ;2900900 
10 ;1006   ;2901007 
11 ;1103   ;2901106 
12 ;33702  ;2901155 
13 ;1200   ;2901205 
14 ;1307   ;2901304 
15 ;41404  ;2901353 
16 ;1404   ;2901403 
17 ;1501   ;2901502 
18 ;1608   ;2901601 
19 ;1705   ;2901700 
20 ;1802   ;2901809 
21 ;1909   ;2901908 
22 ;39106  ;2901957 
23 ;37104  ;2902054 
24 ;2002   ;2902005 
25 ;2109   ;2902104 
26 ;2206   ;2902203 
27 ;33809  ;2902252 
28 ;2303   ;2902302 
29 ;2400   ;2902401 
30 ;2507   ;2902500 
31 ;2604   ;2902609 
32 ;37201  ;2902658 
33 ;2701   ;2902708 
34 ;2808   ;2902807 
35 ;2905   ;2902906 
36 ;3008   ;2903003 
37 ;3105   ;2903102 
38 ;3202   ;2903201 
39 ;33906  ;2903235 
40 ;3309   ;2903300 
41 ;41705  ;2903276 
42 ;3406   ;2903409 
43 ;3503   ;2903508 
44 ;3600   ;2903607 
45 ;3707   ;2903706 
46 ;3804   ;2903805 
47 ;3901   ;2903904 
48 ;39601  ;2903953 
49 ;4004   ;2904001 
50 ;40903  ;2904050 
51 ;4101   ;2904100 
52 ;4208   ;2904209 
53 ;4305   ;2904308 
54 ;4402   ;2904407 
55 ;4509   ;2904506 
56 ;4606   ;2904605 
57 ;4703   ;2904704 
58 ;34106  ;2904753 
59 ;4800   ;2904803 
60 ;39805  ;2904852 
61 ;4907   ;2904902 
62 ;5000   ;2905008 
63 ;5107   ;2905107 
64 ;36904  ;2905156 
65 ;5204   ;2905206 
66 ;5301   ;2905305 
67 ;5408   ;2905404 
68 ;5505   ;2905503 
69 ;5602   ;2905602 
70 ;5709   ;2905701 
71 ;5806   ;2905800 
72 ;5903   ;2905909 
73 ;6006   ;2906006 
74 ;6103   ;2906105 
75 ;6200   ;2906204 
76 ;6307   ;2906303 
77 ;6404   ;2906402 
78 ;6501   ;2906501 
79 ;6608   ;2906600 
80 ;6705   ;2906709 
81 ;6802   ;2906808 
82 ;34203  ;2906824 
83 ;34300  ;2906857 
84 ;34407  ;2906873 
85 ;37308  ;2906899 
86 ;6909   ;2906907 
87 ;7002   ;2907004 
88 ;7109   ;2907103 
89 ;7206   ;2907202 
90 ;7303   ;2907301 
91 ;7400   ;2907400 
92 ;7507   ;2907509 
93 ;40000  ;2907558 
94 ;7604   ;2907608 
95 ;7701   ;2907707 
96 ;7808   ;2907806 
97 ;7905   ;2907905 
98 ;8008   ;2908002 
99 ;8105   ;2908101 
100;8202   ;2908200 
101;8309   ;2908309 
102;8406   ;2908408 
103;8503   ;2908507 
104;8600   ;2908606 
105;8707   ;2908705 
106;8804   ;2908804 
107;8901   ;2908903 
108;9004   ;2909000 
109;9101   ;2909109 
110;9208   ;2909208 
111;9305   ;2909307 
112;9402   ;2909406 
113;9509   ;2909505 
114;9606   ;2909604 
115;9703   ;2909703 
116;9800   ;2909802 
117;9907   ;2909901 
118;10005  ;2910008 
119;34504  ;2910057 
120;10102  ;2910107 
121;10209  ;2910206 
122;10306  ;2910305 
123;10403  ;2910404 
124;10500  ;2910503 
125;505    ;2900504 
126;10607  ;2910602 
127;10704  ;2910701 
128;36807  ;2910727 
129;34601  ;2910750 
130;37405  ;2910776 
131;10801  ;2910800 
132;34708  ;2910859 
133;10908  ;2910909 
134;11001  ;2911006 
135;11108  ;2911105 
136;11205  ;2911204 
137;34805  ;2911253 
138;11302  ;2911303 
139;11409  ;2911402 
140;11506  ;2911501 
141;11603  ;2911600 
142;34902  ;2911659 
143;11700  ;2911709 
144;11807  ;2911808 
145;35005  ;2911857 
146;11904  ;2911907 
147;12007  ;2912004 
148;12104  ;2912103 
149;12201  ;2912202 
150;12308  ;2912301 
151;12405  ;2912400 
152;12502  ;2912509 
153;12609  ;2912608 
154;12706  ;2912707 
155;12803  ;2912806 
156;12900  ;2912905 
157;13003  ;2913002 
158;13100  ;2913101 
159;13207  ;2913200 
160;13304  ;2913309 
161;13401  ;2913408 
162;37502  ;2913457 
163;13508  ;2913507 
164;13605  ;2913606 
165;13702  ;2913705 
166;13809  ;2913804 
167;13906  ;2913903 
168;14009  ;2914000 
169;14106  ;2914109 
170;14203  ;2914208 
171;14300  ;2914307 
